Skill,SourceType,SourceName,Content
Academic Listening & Note-taking,module_outline,AUTO_FROM_MAPPING,"Listening strategies for lectures and academic talks, with emphasis on identifying key ideas, recording structured notes and extracting relevant information for later study."
Academic Writing & Grammar,module_outline,AUTO_FROM_MAPPING,"Skills for structuring academic writing, using formal style, correct grammar and cohesion, and integrating citations and references."
Agile Development & SCRUM,module_outline,AUTO_FROM_MAPPING,"Agile principles and Scrum practices including roles, ceremonies, backlog management, iterative delivery and how to collaborate in an Agile software team."
Agile Software Development & Scrum Practices,module_outline,AUTO_FROM_MAPPING,"Agile Software Development & Scrum Practices refers to communication, teamwork, ethics and other professional behaviours required to work effectively in industry."
Algorithm Analysis & Asymptotic Notations,module_outline,AUTO_FROM_MAPPING,"Algorithm Analysis & Asymptotic Notations focuses on efficient organisation of data and step-by-step procedures for solving computational problems, with attention to time and space complexity."
Algorithm Design Techniques,module_outline,AUTO_FROM_MAPPING,"Algorithm Design Techniques focuses on efficient organisation of data and step-by-step procedures for solving computational problems, with attention to time and space complexity."
Android OS & Application Components,module_outline,AUTO_FROM_MAPPING,"Android OS & Application Components is a core skill area in the IT / data science curriculum. It covers the key concepts, typical tools and practical problem-solving abilities needed to apply this knowledge in real projects."
AngularJS & TypeScript MVC Development,module_outline,AUTO_FROM_MAPPING,"AngularJS & TypeScript MVC Development is a core skill area in the IT / data science curriculum. It covers the key concepts, typical tools and practical problem-solving abilities needed to apply this knowledge in real projects."
Application Testing & Security,module_outline,AUTO_FROM_MAPPING,"Application Testing & Security is concerned with protecting systems and data through access control, secure configuration and detection of suspicious activity."
"Arrays, Structures & File Handling",module_outline,AUTO_FROM_MAPPING,"Arrays, Structures & File Handling is a core skill area in the IT / data science curriculum. It covers the key concepts, typical tools and practical problem-solving abilities needed to apply this knowledge in real projects."
BI Solution Implementation,module_outline,AUTO_FROM_MAPPING,"BI Solution Implementation is a core skill area in the IT / data science curriculum. It covers the key concepts, typical tools and practical problem-solving abilities needed to apply this knowledge in real projects."
Bayesian Analysis,module_outline,AUTO_FROM_MAPPING,"Bayesian Analysis is a core skill area in the IT / data science curriculum. It covers the key concepts, typical tools and practical problem-solving abilities needed to apply this knowledge in real projects."
Boolean Algebra & Logic,module_outline,AUTO_FROM_MAPPING,"Boolean Algebra & Logic is a core skill area in the IT / data science curriculum. It covers the key concepts, typical tools and practical problem-solving abilities needed to apply this knowledge in real projects."
Boolean Retrieval & Inverted Indexes,module_outline,AUTO_FROM_MAPPING,"Boolean Retrieval & Inverted Indexes is a core skill area in the IT / data science curriculum. It covers the key concepts, typical tools and practical problem-solving abilities needed to apply this knowledge in real projects."
C++ Programming Implementation,module_outline,AUTO_FROM_MAPPING,"C++ Programming Implementation is a core skill area in the IT / data science curriculum. It covers the key concepts, typical tools and practical problem-solving abilities needed to apply this knowledge in real projects."
Calculus & Differentiation,module_outline,AUTO_FROM_MAPPING,"Calculus & Differentiation is a core skill area in the IT / data science curriculum. It covers the key concepts, typical tools and practical problem-solving abilities needed to apply this knowledge in real projects."
"Classes, Objects & Properties",module_outline,AUTO_FROM_MAPPING,"Classes, Objects & Properties is a core skill area in the IT / data science curriculum. It covers the key concepts, typical tools and practical problem-solving abilities needed to apply this knowledge in real projects."
Client-side Development with JavaScript Frameworks,module_outline,AUTO_FROM_MAPPING,"Client-side Development with JavaScript Frameworks is about building and delivering content and applications over the web, including front-end interfaces and server-side processing."
Cloud Database Setup,module_outline,AUTO_FROM_MAPPING,"Cloud Database Setup covers designing relational schemas and using SQL to define, manipulate and query data while preserving integrity and performance."
"Collections, Generics & Threads",module_outline,AUTO_FROM_MAPPING,"Collections, Generics & Threads relates to how an operating system manages processes, threads, memory, files and I/O devices to provide a safe and efficient execution environment."
Combinational & Sequential Logic Circuits,module_outline,AUTO_FROM_MAPPING,"Combinational & Sequential Logic Circuits is a core skill area in the IT / data science curriculum. It covers the key concepts, typical tools and practical problem-solving abilities needed to apply this knowledge in real projects."
Control Structures & Loops,module_outline,AUTO_FROM_MAPPING,"Control Structures & Loops is a core skill area in the IT / data science curriculum. It covers the key concepts, typical tools and practical problem-solving abilities needed to apply this knowledge in real projects."
Convolutional Neural Networks,module_outline,AUTO_FROM_MAPPING,"Convolutional Neural Networks focuses on learning patterns from data using parameterised models, training procedures, evaluation metrics and regularization to generalize to unseen cases."
Crash Recovery Algorithms,module_outline,AUTO_FROM_MAPPING,"Crash Recovery Algorithms focuses on efficient organisation of data and step-by-step procedures for solving computational problems, with attention to time and space complexity."
DBMS Architecture Analysis,module_outline,AUTO_FROM_MAPPING,"DBMS Architecture Analysis is a core skill area in the IT / data science curriculum. It covers the key concepts, typical tools and practical problem-solving abilities needed to apply this knowledge in real projects."
Data Handling & Media Integration,module_outline,AUTO_FROM_MAPPING,"Data Handling & Media Integration is a core skill area in the IT / data science curriculum. It covers the key concepts, typical tools and practical problem-solving abilities needed to apply this knowledge in real projects."
Data Modeling & ER Diagrams,module_outline,AUTO_FROM_MAPPING,"Data Modeling & ER Diagrams is a core skill area in the IT / data science curriculum. It covers the key concepts, typical tools and practical problem-solving abilities needed to apply this knowledge in real projects."
