QuestionID,StudentID,RoleName,Skill,Difficulty,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOption,Explanation
1,IT21001288,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
2,IT21001288,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
3,IT21001288,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
4,IT21002809,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
5,IT21002809,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
6,IT21002809,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
7,IT21004505,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
8,IT21004505,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
9,IT21004505,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
10,IT21004753,Data Analyst,Hypothesis Testing,Medium,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
11,IT21004753,Data Analyst,Hypothesis Testing,Medium,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
12,IT21004753,Data Analyst,Hypothesis Testing,Medium,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
13,IT21005263,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
14,IT21005263,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
15,IT21005263,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
16,IT21006129,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
17,IT21006129,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
18,IT21006129,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
19,IT21007298,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
20,IT21007298,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
21,IT21007298,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
22,IT21008496,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
23,IT21008496,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
24,IT21008496,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
25,IT21009261,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
26,IT21009261,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
27,IT21009261,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
28,IT21010022,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
29,IT21010022,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
30,IT21010022,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
31,IT21011007,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
32,IT21011007,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
33,IT21011007,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
34,IT21011057,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
35,IT21011057,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
36,IT21011057,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
37,IT21012347,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
38,IT21012347,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
39,IT21012347,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
40,IT21013965,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
41,IT21013965,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
